Timestamp,Visual_Emotion,Audio_Emotion,Combined_Emotion
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:44,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:45,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:46,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
2024-11-03 10:54:47,Surprise,Neutral,Mixed
